,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
10,11,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 22S,322,,,Sense id (newly selected sense),2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 27S,327,,,Sense id (newly selected sense),1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 29S,329,,,Sense id (newly selected sense),0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 37S,337,,,Sense id (newly selected sense),2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 37S,337,,,Sense id (newly selected sense),1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 38S,338,,,Sense id (newly selected sense),0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 39S,339,,,Sense id (newly selected sense),1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 40S,340,,,Sense id (newly selected sense),2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 40S,340,,,Sense id (newly selected sense),1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 41S,341,,,Sense id (newly selected sense),0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,5M 44S,344,,,"startscan_x,startscan_y","1017,504",,,,,,,,,,,,,,,,"(1017, 504)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,5M 44S,344,,,Sense id (newly selected sense),2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 45S,345,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,0,-165",,,,,,,,,,,,,,0.0,-165.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 45S,345,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-165,-195",,,,,,,,,,,,,,-165.0,-195.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 46S,346,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-195,-360",,,,,,,,,,,,,,-195.0,-360.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 48S,348,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-360,-705",,,,,,,,,,,,,,-360.0,-705.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 49S,349,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-705,-945",,,,,,,,,,,,,,-705.0,-945.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,5M 49S,349,12.0,,"endscan_x,endscan_y","1952,571",,,,,,,,,,,,,,,,,"(1952, 571)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,5M 51S,351,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-945,-1035",,,,,,,,,,,,,,-945.0,-1035.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,5M 51S,351,12.0,,"startscan_x,startscan_y","1972,523",,,,,,,,,,,,,,,,"(1972, 523)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,5M 59S,359,12.0,,"endscan_x,endscan_y","1356,278",,,,,,,,,,,,,,,,,"(1356, 278)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,213,Player touches Object,Challenge Stack,5M 59S,359,12.0,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_family_lati_a_G0a0,true",,,,,,,,,,,c_family_lati_a_G0a0,,,,,,,,True,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,6M 31S,391,12.0,,"startscan_x,startscan_y","802,318",,,,,,,,,,,,,,,,"(802, 318)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,6M 32S,392,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,0,-150",,,,,,,,,,,,,,0.0,-150.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,6M 33S,393,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-150,-30",,,,,,,,,,,,,,-150.0,-30.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,6M 33S,393,12.0,,"endscan_x,endscan_y","48,473",,,,,,,,,,,,,,,,,"(48, 473)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,6M 54S,414,12.0,,"startscan_x,startscan_y","656,172",,,,,,,,,,,,,,,,"(656, 172)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,6M 57S,417,12.0,,"endscan_x,endscan_y","833,286",,,,,,,,,,,,,,,,,"(833, 286)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,213,Player touches Object,Challenge Stack,6M 57S,417,12.0,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_player_lati_M_a_G0a1N,true",,,,,,,,,,,c_player_lati_M_a_G0a1N,,,,,,,,True,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,6M 59S,419,12.0,,"startscan_x,startscan_y","846,362",,,,,,,,,,,,,,,,"(846, 362)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,7M 0S,420,12.0,,"endscan_x,endscan_y","841,375",,,,,,,,,,,,,,,,,"(841, 375)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,213,Player touches Object,Challenge Stack,7M 0S,420,12.0,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_player_lati_M_a_G0a1N,true",,,,,,,,,,,c_player_lati_M_a_G0a1N,,,,,,,,True,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,212,Player switches to a Sense,Challenge Stack,7M 3S,423,12.0,,Sense id (newly selected sense),1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,7M 4S,424,12.0,,"startscan_x,startscan_y","885,308",,,,,,,,,,,,,,,,"(885, 308)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,211,Player ends scan,Challenge Stack,7M 4S,424,12.0,,"endscan_x,endscan_y","847,362",,,,,,,,,,,,,,,,,"(847, 362)",,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,213,Player touches Object,Challenge Stack,7M 4S,424,12.0,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_player_lati_M_a_G0a1N,true",,,,,,,,,,,c_player_lati_M_a_G0a1N,,,,,,,,True,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,207,Player panned Scene,Challenge Stack,7M 7S,427,12.0,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,-30,-270",,,,,,,,,,,,,,-30.0,-270.0,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,210,Player begins to scan Scene using Sense,Challenge Stack,7M 7S,427,12.0,,"startscan_x,startscan_y","927,366",,,,,,,,,,,,,,,,"(927, 366)",,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,6427001,3561,"3561 (T,TH) Spring 2013",Session 1,2013-03-07,205,Player finds object,Challenge Stack,7M 9S,429,12.0,Welcome to PlayForward,"Stack id, Object id, locked/unlocked status (true/false), first time unlocked (true/false)","12,c_home_G0a1N,false,false",,,,,,,,,,,c_home_G0a1N,False,False,,,,,,,,,,,,,,Session_1_eventLog_6427001_session1.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
